model_name,RGN,lr,wd,seed,data_seed,done,train_score,last_val_score,best_val_score,best_val_acc,conf,extra_info
resnet_18,False,0.0001,0.0005,0,0,True,0.0005479775136336,0.1135569810867309,0.1121599823236465,95.88014981273407,,
resnet_34,False,0.0001,0.0005,0,0,True,0.0071892254054546,0.1443565487861633,0.1428772509098053,95.13108614232208,,
resnet_50,False,0.0001,0.0005,0,0,False,,,,,,
resnet_101,False,0.0001,0.0005,0,0,False,,,,,,
resnet_152,False,0.0001,0.0005,0,0,True,0.0038961239624768,0.0781738385558128,0.0763486176729202,96.62921348314607,,
effnet_s,False,0.0001,0.0005,0,0,False,,,,,,
effnet_m,False,0.0001,0.0005,0,0,True,0.0018712584860622,0.1743153631687164,0.1522977203130722,95.50561797752808,,
effnet_l,False,0.0001,0.0005,0,0,True,0.0103466948494315,0.1878148466348648,0.16585174202919,94.7565543071161,,
convnext_t,False,0.0001,0.0005,0,0,True,0.0021501125302165,0.1262916624546051,0.122139036655426,95.69288389513108,,
convnext_s,False,0.0001,0.0005,0,0,False,,,,,,
convnext_b,False,0.0001,0.0005,0,0,False,,,,,,
convnext_l,False,0.0001,0.0005,0,0,False,,,,,,
swin_t,False,0.0001,0.0005,0,0,False,,,,,,
swin_s,False,0.0001,0.0005,0,0,True,0.0118222590535879,0.2378682196140289,0.2264880388975143,91.57303370786516,,
swin_b,False,0.0001,0.0005,0,0,True,0.581445038318634,0.5774672627449036,0.5648602843284607,76.96629213483146,,
deit3_s,False,0.0001,0.0005,0,0,True,0.0025463686324656,0.4293371140956878,0.3914366662502289,81.27340823970037,,
deit3_b,False,0.0001,0.0005,0,0,True,0.0007568524451926,0.6385100483894348,0.5143203139305115,80.33707865168539,,
deit3_l,False,0.0001,0.0005,0,0,False,,,,,,
coatLite_m,False,0.0001,0.0005,0,0,True,0.0006181247881613,0.2305406630039215,0.1804246753454208,93.63295880149812,,
coatLite_t,False,0.0001,0.0005,0,0,True,0.0004869197728112,0.2082566320896148,0.1887465715408325,93.44569288389512,,
coatLite_s,False,0.0001,0.0005,0,0,True,0.0004954317701049,0.1549817621707916,0.1470596194267273,94.9438202247191,,
coat_m,False,0.0001,0.0005,0,0,False,,,,,,
coat_t,False,0.0001,0.0005,0,0,False,,,,,,
resnet_18,False,0.0001,0.0005,0,1,False,,,,,,
resnet_34,False,0.0001,0.0005,0,1,True,0.0026379041373729,0.131617784500122,0.1203749999403953,95.88014981273407,,
resnet_50,False,0.0001,0.0005,0,1,True,0.0081688668578863,0.1231337785720825,0.1173938661813736,96.25468164794007,,
resnet_101,False,0.0001,0.0005,0,1,True,0.0020979419350624,0.174399122595787,0.1724952906370163,95.69288389513108,,
resnet_152,False,0.0001,0.0005,0,1,True,0.0036432277411222,0.1165145188570022,0.1129419803619384,96.44194756554307,,
effnet_s,False,0.0001,0.0005,0,1,True,0.0045466627925634,0.1412120312452316,0.1333373785018921,94.9438202247191,,
effnet_m,False,0.0001,0.0005,0,1,True,0.0046136104501783,0.1770560443401336,0.1639321595430374,96.25468164794007,,
effnet_l,False,0.0001,0.0005,0,1,True,0.0088023710995912,0.1560781002044677,0.1380356401205063,95.31835205992508,,
convnext_t,False,0.0001,0.0005,0,1,True,0.001691281562671,0.146663948893547,0.1378019601106643,95.88014981273407,,
convnext_s,False,0.0001,0.0005,0,1,True,0.0008636183920316,0.20855812728405,0.2011811584234237,93.82022471910112,,
convnext_b,False,0.0001,0.0005,0,1,False,,,,,,
convnext_l,False,0.0001,0.0005,0,1,False,,,,,,
swin_t,False,0.0001,0.0005,0,1,True,0.0030941730365157,0.1720310896635055,0.1520287245512008,94.7565543071161,,
swin_s,False,0.0001,0.0005,0,1,True,0.0032090647146105,0.195570021867752,0.1790802329778671,94.5692883895131,,
swin_b,False,0.0001,0.0005,0,1,False,,,,,,
deit3_s,False,0.0001,0.0005,0,1,False,,,,,,
deit3_b,False,0.0001,0.0005,0,1,False,,,,,,
deit3_l,False,0.0001,0.0005,0,1,False,,,,,,
coatLite_m,False,0.0001,0.0005,0,1,False,,,,,,
coatLite_t,False,0.0001,0.0005,0,1,False,,,,,,
coatLite_s,False,0.0001,0.0005,0,1,False,,,,,,
coat_m,False,0.0001,0.0005,0,1,False,,,,,,
coat_t,False,0.0001,0.0005,0,1,False,,,,,,
resnet_18,False,0.0001,0.0005,0,9,True,0.000430882704677,0.1961694061756134,0.1862984746694564,94.7565543071161,,
resnet_34,False,0.0001,0.0005,0,9,True,0.0010509941494092,0.201731652021408,0.1814309954643249,93.44569288389512,,
resnet_50,False,0.0001,0.0005,0,9,True,0.0014974692603573,0.2125910967588424,0.2013268172740936,92.50936329588016,,
resnet_101,False,0.0001,0.0005,0,9,True,0.0016065391246229,0.2093912363052368,0.1976460814476013,95.31835205992508,,
resnet_152,False,0.0001,0.0005,0,9,True,0.0021510671358555,0.1705048829317093,0.1572965085506439,95.31835205992508,,
effnet_s,False,0.0001,0.0005,0,9,True,0.0053419615142047,0.1692974269390106,0.1453970074653625,96.06741573033707,,
effnet_m,False,0.0001,0.0005,0,9,True,0.0023919858504086,0.2002872973680496,0.1922365576028823,94.9438202247191,,
effnet_l,False,0.0001,0.0005,0,9,True,0.0130379106849432,0.2196784913539886,0.1681900322437286,94.3820224719101,,
convnext_t,False,0.0001,0.0005,0,9,True,0.0010410887189209,0.2291795760393142,0.2127468436956405,94.19475655430712,,
convnext_s,False,0.0001,0.0005,0,9,False,,,,,,
convnext_b,False,0.0001,0.0005,0,9,False,,,,,,
convnext_l,False,0.0001,0.0005,0,9,False,,,,,,
swin_t,False,0.0001,0.0005,0,9,True,0.1555192321538925,0.3344570994377136,0.2800180613994598,90.4494382022472,,
swin_s,False,0.0001,0.0005,0,9,True,0.0049796043895184,0.2646870613098144,0.2421142607927322,92.32209737827716,,
swin_b,False,0.0001,0.0005,0,9,False,,,,,,
deit3_s,False,0.0001,0.0005,0,9,False,,,,,,
deit3_b,False,0.0001,0.0005,0,9,False,,,,,,
deit3_l,False,0.0001,0.0005,0,9,False,,,,,,
coatLite_m,False,0.0001,0.0005,0,9,False,,,,,,
coatLite_t,False,0.0001,0.0005,0,9,False,,,,,,
coatLite_s,False,0.0001,0.0005,0,9,False,,,,,,
coat_m,False,0.0001,0.0005,0,9,False,,,,,,
coat_t,False,0.0001,0.0005,0,9,False,,,,,,
resnet_18,True,0.0001,0.0005,0,0,True,0.0004632039344869,0.3817040622234344,0.3677155375480652,84.08239700374533,,
resnet_34,True,0.0001,0.0005,0,0,True,0.0003222431114409,0.3719716072082519,0.3619401454925537,86.51685393258427,,
resnet_50,True,0.0001,0.0005,0,0,True,0.0018974886042997,0.3218710720539093,0.3197165429592132,88.76404494382022,,
resnet_101,True,0.0001,0.0005,0,0,False,,,,,,
resnet_152,True,0.0001,0.0005,0,0,False,,,,,,
effnet_s,True,0.0001,0.0005,0,0,False,,,,,,
effnet_m,True,0.0001,0.0005,0,0,False,,,,,,
effnet_l,True,0.0001,0.0005,0,0,False,,,,,,
convnext_t,True,0.0001,0.0005,0,0,False,,,,,,
convnext_s,True,0.0001,0.0005,0,0,False,,,,,,
convnext_b,True,0.0001,0.0005,0,0,False,,,,,,
convnext_l,True,0.0001,0.0005,0,0,False,,,,,,
swin_t,True,0.0001,0.0005,0,0,False,,,,,,
swin_s,True,0.0001,0.0005,0,0,False,,,,,,
swin_b,True,0.0001,0.0005,0,0,False,,,,,,
deit3_s,True,0.0001,0.0005,0,0,False,,,,,,
deit3_b,True,0.0001,0.0005,0,0,False,,,,,,
deit3_l,True,0.0001,0.0005,0,0,False,,,,,,
coatLite_m,True,0.0001,0.0005,0,0,False,,,,,,
coatLite_t,True,0.0001,0.0005,0,0,False,,,,,,
coatLite_s,True,0.0001,0.0005,0,0,False,,,,,,
coat_m,True,0.0001,0.0005,0,0,False,,,,,,
coat_t,True,0.0001,0.0005,0,0,False,,,,,,
resnet_18,True,0.0001,0.0005,0,1,False,,,,,,
resnet_34,True,0.0001,0.0005,0,1,False,,,,,,
resnet_50,True,0.0001,0.0005,0,1,False,,,,,,
resnet_101,True,0.0001,0.0005,0,1,False,,,,,,
resnet_152,True,0.0001,0.0005,0,1,False,,,,,,
effnet_s,True,0.0001,0.0005,0,1,False,,,,,,
effnet_m,True,0.0001,0.0005,0,1,False,,,,,,
effnet_l,True,0.0001,0.0005,0,1,False,,,,,,
convnext_t,True,0.0001,0.0005,0,1,False,,,,,,
convnext_s,True,0.0001,0.0005,0,1,False,,,,,,
convnext_b,True,0.0001,0.0005,0,1,False,,,,,,
convnext_l,True,0.0001,0.0005,0,1,False,,,,,,
swin_t,True,0.0001,0.0005,0,1,False,,,,,,
swin_s,True,0.0001,0.0005,0,1,False,,,,,,
swin_b,True,0.0001,0.0005,0,1,False,,,,,,
deit3_s,True,0.0001,0.0005,0,1,False,,,,,,
deit3_b,True,0.0001,0.0005,0,1,False,,,,,,
deit3_l,True,0.0001,0.0005,0,1,False,,,,,,
coatLite_m,True,0.0001,0.0005,0,1,False,,,,,,
coatLite_t,True,0.0001,0.0005,0,1,False,,,,,,
coatLite_s,True,0.0001,0.0005,0,1,False,,,,,,
coat_m,True,0.0001,0.0005,0,1,False,,,,,,
coat_t,True,0.0001,0.0005,0,1,False,,,,,,
resnet_18,True,0.0001,0.0005,0,9,True,0.0005286562372930348,0.5061043500900269,0.4762347936630249,84.08239700374533,,
resnet_34,True,0.0001,0.0005,0,9,False,,,,,,
resnet_50,True,0.0001,0.0005,0,9,False,,,,,,
resnet_101,True,0.0001,0.0005,0,9,False,,,,,,
resnet_152,True,0.0001,0.0005,0,9,False,,,,,,
effnet_s,True,0.0001,0.0005,0,9,False,,,,,,
effnet_m,True,0.0001,0.0005,0,9,False,,,,,,
effnet_l,True,0.0001,0.0005,0,9,False,,,,,,
convnext_t,True,0.0001,0.0005,0,9,False,,,,,,
convnext_s,True,0.0001,0.0005,0,9,False,,,,,,
convnext_b,True,0.0001,0.0005,0,9,False,,,,,,
convnext_l,True,0.0001,0.0005,0,9,False,,,,,,
swin_t,True,0.0001,0.0005,0,9,False,,,,,,
swin_s,True,0.0001,0.0005,0,9,False,,,,,,
swin_b,True,0.0001,0.0005,0,9,False,,,,,,
deit3_s,True,0.0001,0.0005,0,9,False,,,,,,
deit3_b,True,0.0001,0.0005,0,9,False,,,,,,
deit3_l,True,0.0001,0.0005,0,9,False,,,,,,
coatLite_m,True,0.0001,0.0005,0,9,False,,,,,,
coatLite_t,True,0.0001,0.0005,0,9,False,,,,,,
coatLite_s,True,0.0001,0.0005,0,9,False,,,,,,
coat_m,True,0.0001,0.0005,0,9,False,,,,,,
coat_t,True,0.0001,0.0005,0,9,False,,,,,,
